# (F) stands for finished and (D) for duration:
process, i, MEAN, SD, CI lower limit, CI upper limit
D, process8, 57.20856983333333333333, .53049641374408827277, 56.94862659059873007968, 57.46851307606793658698
F, process9, 59.41789656666666666666, .46888827358904191538, 59.18814131260803612813, 59.64765182072529720519
D, process9, 56.41789656666666666666, .46888827358904191538, 56.18814131260803612813, 56.64765182072529720519
F, process10, 20.26684646666666666666, .17302535456915619974, 20.18206404292778012879, 20.35162889040555320453
D, process10, 18.56684570000000000000, .17302556853119521921, 18.48206317141971434259, 18.65162822858028565741
F, process11, 44.62778143333333333333, .50139515631563383590, 44.38209780673867275374, 44.87346505992799391292
D, process11, 42.12778143333333333333, .50139515631563383590, 41.88209780673867275374, 42.37346505992799391292
F, process12, 87.10559036666666666666, .66710956610042618161, 86.77870667927745783768, 87.43247405405587549564
D, process12, 83.10559036666666666666, .66710956610042618161, 82.77870667927745783768, 83.43247405405587549564
F, process13, 12.40082036666666666666, .33360338878029834677, 12.23735470616432047675, 12.56428602716901285657
D, process13, 11.40082036666666666666, .33360338878029834677, 11.23735470616432047675, 11.56428602716901285657
F, process14, 93.54279223333333333333, .61690305763967395728, 93.24050973508989309427, 93.84507473157677357239
D, process14, 84.54279223333333333333, .61690305763967395728, 84.24050973508989309427, 84.84507473157677357239
F, process15, 97.31501596666666666666, .60132696019855306518, 97.02036575616937566473, 97.60966617716395766859
D, process15, 90.31501596666666666666, .60132696019855306518, 90.02036575616937566473, 90.60966617716395766859
F, process16, 32.51954723333333333333, .45294163348976751894, 32.29760583292334724905, 32.74148863374331941761
D, process16, 31.51954723333333333333, .45294163348976751894, 31.29760583292334724905, 31.74148863374331941761
Context change, 0
Failed deadlines, 13, 16

SJF
F, process1, 11.29643250000000000000, .21256172416308476427, 11.19227725516008846551, 11.40058774483991153449
D, process1, 10.29643250000000000000, .21256172416308476427, 10.19227725516008846551, 10.40058774483991153449
F, process2, 35.94212926666666666666, 3.28662885718752788345, 34.33168112664477800377, 37.55257740668855532955
D, process2, 32.74212843333333333333, 3.28662893744481680810, 31.13168025398537309737, 34.35257661268129356929
F, process3, 20.25505153333333333333, 1.21036539981450046222, 19.66197248742422810685, 20.84813057924243855981
D, process3, 17.25505153333333333333, 1.21036539981450046222, 16.66197248742422810685, 17.84813057924243855981
F, process4, 56.27352850000000000000, .97893670948009538144, 55.79384951235475326310, 56.75320748764524673690
D, process4, 51.27352850000000000000, .97893670948009538144, 50.79384951235475326310, 51.75320748764524673690
F, process5, 39.30547626666666666666, 2.13319786342600254869, 38.26020931358792541781, 40.35074321974540791551
D, process5, 35.30547626666666666666, 2.13319786342600254869, 34.26020931358792541781, 36.35074321974540791551
F, process6, 13.84024266666666666666, 1.30552240471872238012, 13.20053668835449270041, 14.47994864497884063291
D, process6, 9.84024266666666666666, 1.30552240471872238012, 9.20053668835449270041, 10.47994864497884063291
F, process7, 77.52862940000000000000, 1.00793410895446930499, 77.03474168661231004056, 78.02251711338768995944
D, process7, 75.52862940000000000000, 1.00793410895446930499, 75.03474168661231004056, 76.02251711338768995944
F, process8, 103.21729220000000000000, 1.47232679699665409121, 102.49585206947163949531, 103.93873233052836050469
D, process8, 101.21729220000000000000, 1.47232679699665409121, 100.49585206947163949531, 101.93873233052836050469
F, process9, 29.80729146666666666666, 1.72246083464557055673, 28.96328565769033709387, 30.65129727564299623945
D, process9, 26.80729146666666666666, 1.72246083464557055673, 25.96328565769033709387, 27.65129727564299623945
F, process10, 24.52596553333333333333, 8.18752112696741985566, 20.51408018111929760406, 28.53785088554736906260
D, process10, 22.82596523333333333333, 8.18752096031157522000, 18.81407996278066147553, 26.83785050388600519113
F, process11, 15.32869790000000000000, .68234138134394037838, 14.99435062314146921460, 15.66304517685853078540
D, process11, 12.82869790000000000000, .68234138134394037838, 12.49435062314146921460, 13.16304517685853078540
F, process12, 66.11467753333333333333, 1.12367871996378434971, 65.56407496055107900198, 66.66528010611558766468
D, process12, 62.11467753333333333333, 1.12367871996378434971, 61.56407496055107900198, 62.66528010611558766468
F, process13, 19.35745863333333333333, 14.18613975895913807848, 12.40625015144335567488, 26.30866711522331099178
D, process13, 18.35745863333333333333, 14.18613975895913807848, 11.40625015144335567488, 25.30866711522331099178
F, process14, 22.03333673333333333333, .76723702207240292223, 21.65739059251785590144, 22.40928287414881076522
D, process14, 13.03333673333333333333, .76723702207240292223, 12.65739059251785590144, 13.40928287414881076522
F, process15, 46.53562953333333333333, 2.98944504534329619146, 45.07080146111511819952, 48.00045760555154846714
D, process15, 39.53562953333333333333, 2.98944504534329619146, 38.07080146111511819952, 41.00045760555154846714
F, process16, 87.32679056666666666666, 1.44338810586521700382, 86.61953039479271033479, 88.03405073854062299853
D, process16, 86.32679056666666666666, 1.44338810586521700382, 85.61953039479271033479, 87.03405073854062299853
Context change, 0
Failed deadlines, 15, 16

SRTN
F, process1, 32.95091193333333333333, 3.03762720010306655726, 31.46247460528283072028, 34.43934926138383594638
D, process1, 31.95091193333333333333, 3.03762720010306655726, 30.46247460528283072028, 33.43934926138383594638
F, process2, 26.02071240000000000000, 1.80476144714682629067, 25.13637929089805511758, 26.90504550910194488242
D, process2, 22.82071150000000000000, 1.80476159022689660815, 21.93637832078882066201, 23.70504467921117933799
F, process3, 10.67582126666666666666, .80206169618028484650, 10.28281103553832709188, 11.06883149779500624144
D, process3, 7.67582126666666666666, .80206169618028484650, 7.28281103553832709188, 8.06883149779500624144
F, process4, 57.52812500000000000000, .54712146258541165001, 57.26003548333314829150, 57.79621451666685170850
D, process4, 52.52812500000000000000, .54712146258541165001, 52.26003548333314829150, 52.79621451666685170850
F, process5, 32.64300563333333333333, 2.05549553051127606245, 31.63581282338280806273, 33.65019844328385860393
D, process5, 28.64300563333333333333, 2.05549553051127606245, 27.63581282338280806273, 29.65019844328385860393
F, process6, 7.39673373333333333333, .16850248420007212329, 7.31416751607529799292, 7.47929995059136867374
D, process6, 3.39673373333333333333, .16850248420007212329, 3.31416751607529799292, 3.47929995059136867374
F, process7, 78.65424150000000000000, .55697045433773534530, 78.38132597737450968081, 78.92715702262549031919
D, process7, 76.65424150000000000000, .55697045433773534530, 76.38132597737450968081, 76.92715702262549031919
F, process8, 104.35582936666666666666, .23867733728606399791, 104.23887747139649530769, 104.47278126193683802563
D, process8, 102.35582936666666666666, .23867733728606399791, 102.23887747139649530769, 102.47278126193683802563
F, process9, 22.27211566666666666666, .26167045476672031459, 22.14389714383097371252, 22.40033418950235962080
D, process9, 19.27211566666666666666, .26167045476672031459, 19.14389714383097371252, 19.40033418950235962080
F, process10, 12.99777010000000000000, 1.06249919775641399461, 12.47714549309935714265, 13.51839470690064285735
D, process10, 11.29777013333333333333, 1.06249921493134081070, 10.77714551801697633609, 11.81839474864969033057
F, process11, 5.66826200000000000000, .33467656825408816380, 5.50427048155549679974, 5.83225351844450320026
D, process11, 3.16826200000000000000, .33467656825408816380, 3.00427048155549679974, 3.33225351844450320026
F, process12, 63.48029896666666666666, .47531838930731355502, 63.24739295590608302471, 63.71320497742725030861
D, process12, 59.48029896666666666666, .47531838930731355502, 59.24739295590608302471, 59.71320497742725030861
F, process13, 45.44378323333333333333, .47746684725878670742, 45.20982447817652784670, 45.67774198849013881996
D, process13, 44.44378323333333333333, .47746684725878670742, 44.20982447817652784670, 44.67774198849013881996
F, process14, 16.54852406666666666666, .52702427650997465432, 16.29028217117677908605, 16.80676596215655424727
D, process14, 7.54852406666666666666, .52702427650997465432, 7.29028217117677908605, 7.80676596215655424727
F, process15, 41.64600940000000000000, .50819095974784911555, 41.39699582972355393339, 41.89502297027644606661
D, process15, 34.64600940000000000000, .50819095974784911555, 34.39699582972355393339, 34.89502297027644606661
F, process16, 84.73373793333333333333, .59752534821617586519, 84.44095051270740715939, 85.02652535395925950727
D, process16, 83.73373793333333333333, .59752534821617586519, 83.44095051270740715939, 84.02652535395925950727
Context change, 3.86666666666666666666
Failed deadlines, 13, 16

RR
F, process1, 12.00247126666666666666, 4.12219203668820628396, 9.98259716868944558752, 14.02234536464388774580
D, process1, 11.00247126666666666666, 4.12219203668820628396, 8.98259716868944558752, 13.02234536464388774580
F, process2, 55.97781233333333333333, 23.08749129500658318668, 44.66494159878010757186, 67.29068306788655909480
D, process2, 52.77781303333333333333, 23.08749269216627961281, 41.46494161417185632306, 64.09068445249481034360
F, process3, 54.00132686666666666666, 21.60668082387637766306, 43.41405326296724161177, 64.58860047036609172155
D, process3, 51.00132686666666666666, 21.60668082387637766306, 40.41405326296724161177, 61.58860047036609172155
F, process4, 74.41200993333333333333, 20.29420380896645890607, 64.46785006693976846936, 84.35616979972689819730
D, process4, 69.41200993333333333333, 20.29420380896645890607, 59.46785006693976846936, 79.35616979972689819730
F, process5, 51.97094093333333333333, 22.73141459710267413099, 40.83254778075302300915, 63.10933408591364365751
D, process5, 47.97094093333333333333, 22.73141459710267413099, 36.83254778075302300915, 59.10933408591364365751
F, process6, 46.22151686666666666666, 22.75608953516669529238, 35.07103299443498597340, 57.37200073889834735992
D, process6, 42.22151686666666666666, 22.75608953516669529238, 31.07103299443498597340, 53.37200073889834735992
F, process7, 76.23042646666666666666, 13.66837396291916339794, 69.53292322483627660167, 82.92792970849705673165
D, process7, 74.23042646666666666666, 13.66837396291916339794, 67.53292322483627660167, 80.92792970849705673165
F, process8, 92.73631703333333333333, 12.83945786158303877506, 86.44498268115764433356, 99.02765138550902233310
D, process8, 90.73631703333333333333, 12.83945786158303877506, 84.44498268115764433356, 97.02765138550902233310
F, process9, 51.17247233333333333333, 21.14363402407545824374, 40.81209166153635879390, 61.53285300513030787276
D, process9, 48.17247233333333333333, 21.14363402407545824374, 37.81209166153635879390, 58.53285300513030787276
F, process10, 28.77923590000000000000, 26.98792067989339849850, 15.55515476685223473574, 42.00331703314776526426
D, process10, 27.07923613333333333333, 26.98792142281067772479, 13.85515463615610124819, 40.30331763051056541847
F, process11, 42.96097406666666666666, 25.12961020569040174612, 30.64746506587836981107, 55.27448306745496352225
D, process11, 40.46097406666666666666, 25.12961020569040174612, 28.14746506587836981107, 52.77448306745496352225
F, process12, 68.92721070000000000000, 20.63219450263147545113, 58.81743539371057702895, 79.03698600628942297105
D, process12, 64.92721070000000000000, 20.63219450263147545113, 54.81743539371057702895, 75.03698600628942297105
F, process13, 22.25925576666666666666, 14.21861122848339147488, 15.29213626470980484397, 29.22637526862352848935
D, process13, 21.25925576666666666666, 14.21861122848339147488, 14.29213626470980484397, 28.22637526862352848935
F, process14, 59.54301166666666666666, 25.44580226964166720930, 47.07456855454224973411, 72.01145477879108359921
D, process14, 50.54301166666666666666, 25.44580226964166720930, 38.07456855454224973411, 63.01145477879108359921
F, process15, 66.76636060000000000000, 21.57744727889224558290, 56.19341143334279966438, 77.33930976665720033562
D, process15, 59.76636060000000000000, 21.57744727889224558290, 49.19341143334279966438, 70.33930976665720033562
F, process16, 61.33794270000000000000, 16.37897269998232449177, 53.31224607700866099904, 69.36363932299133900096
D, process16, 60.33794270000000000000, 16.37897269998232449177, 52.31224607700866099904, 68.36363932299133900096
Context change, 4.93333333333333333333
Failed deadlines, 13, 16

PS
F, process1, 23.33053033333333333333, .29700764566806843209, 23.18499658695597980161, 23.47606407971068686505
D, process1, 22.33053033333333333333, .29700764566806843209, 22.18499658695597980161, 22.47606407971068686505
F, process2, 70.12848010000000000000, .52351906475748967384, 69.87195575826883005982, 70.38500444173116994018
D, process2, 66.92848330000000000000, .52351904804245343395, 66.67195896645919781737, 67.18500763354080218263
F, process3, 94.85597116666666666666, .69933175801394306635, 94.51329860523983456415, 95.19864372809349876917
D, process3, 91.85597116666666666666, .69933175801394306635, 91.51329860523983456415, 92.19864372809349876917
F, process4, 35.25877673333333333333, .22312717056332596167, 35.14944441975730361212, 35.36810904690936305454
D, process4, 30.25877673333333333333, .22312717056332596167, 30.14944441975730361212, 30.36810904690936305454
F, process5, 13.22567430000000000000, .16807129533685994650, 13.14331936528493862622, 13.30802923471506137378
D, process5, 9.22567430000000000000, .16807129533685994650, 9.14331936528493862622, 9.30802923471506137378
F, process6, 15.27509623333333333333, .19293013557203953706, 15.18056046690303396018, 15.36963199976363270648
D, process6, 11.27509623333333333333, .19293013557203953706, 11.18056046690303396018, 11.36963199976363270648
F, process7, 91.19017510000000000000, .64501409876277639909, 90.87411819160623956445, 91.50623200839376043555
